NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
133,1,14738.33,14591.68,5/24/2022
134,1,14734.31,14587.7,5/23/2022
135,1,14804.66,14657.35,5/20/2022
136,1,14755.41,14608.59,5/19/2022
137,1,14724.26,14577.75,5/18/2022
138,1,14692.1,14545.91,5/17/2022
139,1,14657.93,14512.08,5/13/2022
140,1,14618.73,14473.27,5/12/2022
141,1,14618.73,14473.27,5/11/2022
142,1,14606.67,14461.33,5/10/2022
143,1,14552.4,14407.6,5/9/2022
144,1,14490.09,14345.91,4/28/2022
145,1,14484.06,14339.94,4/27/2022
146,1,14524.26,14379.74,4/26/2022
147,1,14432.81,14289.2,4/25/2022
148,1,14419.74,14276.26,4/22/2022
149,1,14422.76,14279.25,4/21/2022
150,1,14418.74,14275.27,4/20/2022
151,1,14427.78,14284.22,4/19/2022
152,1,14420.75,14277.26,4/18/2022
153,1,14430.8,14287.21,4/14/2022
154,1,14435.82,14292.18,4/13/2022
155,1,14441.85,14298.15,4/12/2022
156,1,14436.83,14293.18,4/11/2022
157,1,14430.8,14287.21,4/8/2022
158,1,14435.82,14292.18,4/7/2022
159,1,14419.74,14276.26,4/6/2022
160,1,14433.81,14290.19,4/5/2022
161,1,14435.82,14292.18,4/4/2022
162,1,14428.79,14285.22,4/1/2022
163,1,14420.75,14277.26,3/31/2022
164,1,14435.82,14292.18,3/30/2022
165,1,14431.8,14288.2,3/29/2022
166,1,14412.71,14269.3,3/28/2022
167,1,14432.81,14289.2,3/25/2022
168,1,14422.76,14279.25,3/24/2022
169,1,14429.79,14286.21,3/23/2022
170,1,14412.71,14269.3,3/22/2022
171,1,14411.7,14268.3,3/21/2022
172,1,14361.45,14218.55,3/18/2022
173,1,14382.56,14239.45,3/17/2022
174,1,14392.61,14249.4,3/16/2022
175,1,14399.64,14256.36,3/15/2022
176,1,14377.53,14234.47,3/14/2022
177,1,14369.49,14226.51,3/11/2022
178,1,14442.86,14299.15,3/10/2022
179,1,14465.97,14322.03,3/9/2022
180,1,14483.06,14338.95,3/8/2022
181,1,14454.92,14311.09,3/7/2022
182,1,14444.87,14301.14,3/4/2022
183,1,14421.75,14278.25,3/2/2022
184,1,14440.85,14297.16,3/1/2022
185,1,14442.86,14299.15,2/25/2022
186,1,14426.78,14283.23,2/24/2022
187,1,14433.81,14290.19,2/23/2022
188,1,14400.65,14257.36,2/22/2022
189,1,14410.7,14267.31,2/21/2022
190,1,14372.51,14229.5,2/18/2022
191,1,14349.39,14206.61,2/17/2022
192,1,14363.46,14220.54,2/16/2022
193,1,14409.69,14266.31,2/15/2022
194,1,14430.8,14287.21,2/14/2022
195,1,14415.72,14272.28,2/11/2022
196,1,14437.83,14294.17,2/10/2022
197,1,14456.93,14313.08,2/9/2022
198,1,14476.02,14331.98,2/8/2022
199,1,14447.88,14304.12,2/7/2022
200,1,14452.91,14309.1,2/4/2022
201,1,14418.74,14275.27,2/3/2022
202,1,14463.96,14320.04,2/2/2022
203,1,14452.91,14309.1,1/31/2022
204,1,14456.93,14313.08,1/28/2022
205,1,14417.73,14274.27,1/27/2022
206,1,14429.79,14286.21,1/26/2022
207,1,14398.64,14255.37,1/25/2022
208,1,14418.74,14275.27,1/24/2022
209,1,14425.77,14282.23,1/21/2022
210,1,14441.85,14298.15,1/20/2022
211,1,14396.63,14253.38,1/19/2022
212,1,14394.62,14251.39,1/18/2022
213,1,14381.55,14238.45,1/17/2022
214,1,14382.56,14239.45,1/14/2022
215,1,14373.51,14230.49,1/13/2022
216,1,14370.5,14227.51,1/12/2022
217,1,14394.62,14251.39,1/11/2022
218,1,14431.8,14288.2,1/10/2022
219,1,14467.98,14324.02,1/7/2022
220,1,14436.83,14293.18,1/6/2022
221,1,14381.55,14238.45,1/5/2022
222,1,14341.35,14198.65,1/4/2022
223,1,14349.39,14206.61,1/3/2022
224,1,14340.35,14197.66,12/31/2021
225,1,14336.33,14193.68,12/30/2021
226,1,14308.19,14165.82,12/29/2021
227,1,14296.13,14153.88,12/28/2021
228,1,14290.1,14147.91,12/27/2021
229,1,14322.26,14179.75,12/24/2021
230,1,14335.32,14192.68,12/23/2021
231,1,14420.75,14277.26,12/22/2021
